Prefix	Species name
MGP_BALBcJ_	Mus musculus (Mouse BALB/cJ)
ENSCCE	Cyanistes caeruleus (Blue tit)
ENSSRH	Sinocyclocheilus rhinocerous (Horned golden-line barbel)
ENSMMO	Mola mola (Ocean sunfish)
MGP_PWKPhJ_	Mus musculus musculus (Mouse PWK/PhJ)
ENSPTR	Pan troglodytes (Chimpanzee)
ENSETE	Echinops telfairi (Lesser hedgehog tenrec)
ENSELU	Esox lucius (Northern pike)
ENSBTA	Bos taurus (Cow)
ENSMMU	Macaca mulatta (Macaque)
ENSGAC	Gasterosteus aculeatus (Stickleback)
ENSEEU	Erinaceus europaeus (Hedgehog)
ENSLOC	Lepisosteus oculatus (Spotted gar)
ENSPME	Poecilia mexicana (Shortfin molly)
ENSCAF	Canis lupus familiaris (Dog - Basenji)
ENSSOR	Sphaeramia orbicularis (Orbiculate cardinalfish)
ENSLCN	Lynx canadensis (Canada lynx)
ENSCAB	Chelonoidis abingdonii (Abingdon island giant tortoise)
ENSHHU	Hucho hucho (Huchen)
ENSSSC	Sus scrofa (Pig)
ENSSAU	Sparus aurata (Gilthead seabream)
ENSAPE	Amphiprion percula (Orange clownfish)
ENSUPA	Urocitellus parryii (Arctic ground squirrel)
ENSPTE	Piliocolobus tephrosceles (Ugandan red Colobus)
ENSECR	Erpetoichthys calabaricus (Reedfish)
ENSCPI	Chrysolophus pictus (Golden pheasant)
ENSGAF	Gambusia affinis (Western mosquitofish)
ENSACA	Anolis carolinensis (Anole lizard)
ENSVKK	Varanus komodoensis (Komodo dragon)
ENSSAN	Sinocyclocheilus anshuiensis (Blind barbel)
ENSLCA	Lates calcarifer (Barramundi perch)
ENSAMX	Astyanax mexicanus (Mexican tetra)
ENSEGO	Erythrura gouldiae (Gouldian finch)
ENSCAF	Canis lupus dingo (Dingo)
ENSRRO	Rhinopithecus roxellana (Golden snub-nosed monkey)
ENSCMI	Callorhinchus milii (Elephant shark)
ENSPRE	Poecilia reticulata (Guppy)
ENSOGA	Otolemur garnettii (Bushbaby)
MGP_C3HHeJ_	Mus musculus (Mouse C3H/HeJ)
ENSSSC	Sus scrofa (Pig - Bamei)
ENSMFA	Macaca fascicularis (Crab-eating macaque)
ENSLBE	Labrus bergylta (Ballan wrasse)
MGP_CBAJ_	Mus musculus (Mouse CBA/J)
ENSCIN	Ciona intestinalis
ENSCCR	Cyprinus carpio (Common carp huanghe)
ENSOPR	Ochotona princeps (Pika)
ENSLSD	Lonchura striata domestica (Bengalese finch)
ENSCLA	Chinchilla lanigera (Long-tailed chinchilla)
ENSSGR	Sinocyclocheilus grahami (Golden-line barbel)
ENSHGLF	Heterocephalus glaber (Naked mole-rat female)
ENSCPI	Chrysemys picta bellii (Painted turtle)
ENSPEM	Peromyscus maniculatus bairdii (Northern American deer mouse)
ENSSCU	Struthio camelus australis (African ostrich)
ENSTMT	Terrapene carolina triunguis (Three-toed box turtle)
MGP_FVBNJ_	Mus musculus (Mouse FVB/NJ)
ENSPCI	Phascolarctos cinereus (Koala)
ENSMIC	Microcebus murinus (Mouse Lemur)
ENSCHA	Clupea harengus (Atlantic herring)
ENSPLA	Poecilia latipinna (Sailfin molly)
